Genre_List,Average_Rating,Book_Count,Total_Reviews
Mathematics,4.477777777777778,9,6675.0
Media Studies,4.5,2,303.0
Medical Biographies,4.45,3,942.0
Medical Ethics,4.65,2,1978.0
Medicine History & Commentary,4.366666666666666,3,3019.0
Medieval European History,4.6,1,1232.0
Meditation,4.613157894736842,42,31966.0
Meditation (Books),4.66,11,16324.0
Meetings & Presentations,4.616666666666666,6,8900.0
Memory Improvement,4.3999999999999995,6,4581.0
Mental & Spiritual Healing,4.533333333333333,9,4116.0
Mental Health,4.646153846153846,13,13719.0
Mentoring & Coaching,4.6,8,6672.0
Metaphysical & Visionary Fiction,4.433333333333334,3,29773.0
Metaphysics,4.433333333333334,3,1133.0
"Mice, Hamsters, Guinea Pigs & Squirrels Fiction for Children",4.3,3,39.0
Microeconomics,4.5,1,1166.0
Microeconomics (Books),4.428571428571429,7,4433.0
Middle Eastern History,4.55,2,543.0
Middle Eastern History (Books),4.4875,8,5442.0
Military & War Biographies,4.6000000000000005,3,847.0
Military Fantasy,4.366666666666666,3,10957.0
Military History,4.66,5,2440.0
Military History (Books),4.42,5,894.0
Military Intelligence & Espionage,4.6,1,458.0
Military Science,4.4,1,97.0
Military Strategy,4.15,2,298.0
Military Thrillers,4.5,2,2698.0
"Mind, Body & Spirit",4.5268292682926825,45,63744.0
Modern Philosophy,4.6,1,245.0
Money & Finance,4.566666666666666,3,237.0
Money & Monetary Policy,4.333333333333333,3,1164.0
Money Management,4.6,10,2676.0
Monster Stories for Children,4.7,5,17662.0
Mortgages,4.7,1,243.0
Motherhood,4.633333333333333,3,2194.0
"Movie, TV & Video Game Tie-In Fiction",4.557142857142857,7,29796.0
"Movie, TV & Video Game Tie-ins for Teens",4.65,2,4766.0
Multicultural Fiction for Teens,4.4,1,12.0
Multicultural Romance,4.433333333333334,6,7121.0
Murder True Crime,4.449999999999999,2,4779.0
Music Books,4.25,6,4597.0
Music Instruction & Technique,4.1000000000000005,3,731.0
Mutual Funds,4.3,1,42.0
Mysteries,4.469230769230769,13,48802.0
Mysteries for Children,4.6000000000000005,4,611.0
Mystery & Detective Fiction for Teens,4.58,5,8958.0
Mystery Action Fiction,4.366666666666666,3,3580.0
Mystery Anthologies & Short Stories,4.5,4,2849.0
Mystery Dramatizations,4.4,2,70.0
Mysticism,4.616666666666666,7,3571.0
Mysticism (Books),4.64,5,1408.0
Mythology & Folklore Encyclopedias,4.6,1,1592.0
Myths & Legends for Teens,4.35,2,83.0
"Myths, Legends & Sagas",4.433333333333333,7,5812.0
Native American Demographic Studies,4.8,1,1954.0
Native American History,4.8,1,1954.0
Natural History,4.6,2,1109.0
Nature & Ecology,4.3,1,374.0
Naturopathy,4.46,5,2564.0
Negotiating,4.58,10,14175.0
Network Administration,4.3,3,146.0
Neuro-Linguistic Programming,4.375,4,1074.0
Neuroscience & Neuropsychology,4.5375,16,6848.0
New Business Enterprises,4.54,15,8302.0
New Testament Bible Study,4.9,1,371.0
